# Wavelength (nm),Intensity (norm)
7.440000000000000000e+02,3.626173402233350256e-03
7.450000000000000000e+02,3.516456442246122804e-03
7.460000000000000000e+02,3.441849968195432111e-03
7.470000000000000000e+02,3.394765787516685653e-03
7.480000000000000000e+02,3.331992394219106778e-03
7.490000000000000000e+02,3.229282973735609925e-03
7.500000000000000000e+02,3.106715549427094443e-03
7.510000000000000000e+02,3.037748523480326198e-03
7.520000000000000000e+02,3.036289446558161284e-03
7.530000000000000000e+02,3.063014375897812197e-03
7.540000000000000000e+02,3.073315591310873604e-03
7.550000000000000000e+02,3.037915605985018648e-03
7.560000000000000000e+02,2.981942966913084768e-03
7.570000000000000000e+02,2.914006558792290886e-03
7.580000000000000000e+02,2.854970189040256182e-03
7.590000000000000000e+02,2.833135317956749118e-03
7.600000000000000000e+02,2.841858348127469184e-03
7.610000000000000000e+02,2.864606382998997110e-03
7.620000000000000000e+02,2.863810673248928015e-03
7.630000000000000000e+02,2.859054611852982538e-03
7.640000000000000000e+02,2.866824775462288588e-03
7.650000000000000000e+02,2.824190613967923237e-03
7.660000000000000000e+02,2.729466413782939607e-03
7.670000000000000000e+02,2.637688490240105467e-03
7.680000000000000000e+02,2.562400451912848123e-03
7.690000000000000000e+02,2.474071706808464617e-03
7.700000000000000000e+02,2.417710311413732039e-03
7.710000000000000000e+02,2.426052856672776276e-03
7.720000000000000000e+02,2.417568043142409931e-03
7.730000000000000000e+02,2.373686552850637951e-03
7.740000000000000000e+02,2.319852900695210975e-03
7.750000000000000000e+02,2.252510379893076300e-03
7.760000000000000000e+02,2.194153920135383153e-03
7.770000000000000000e+02,2.151400650320840942e-03
7.780000000000000000e+02,2.127287832613954186e-03
7.790000000000000000e+02,2.127779154434683139e-03
7.800000000000000000e+02,2.130454128791985698e-03
7.810000000000000000e+02,2.130052138211388849e-03
7.820000000000000000e+02,2.145306274605132072e-03
7.830000000000000000e+02,2.179905587334243517e-03
7.840000000000000000e+02,2.188459880718046473e-03
7.850000000000000000e+02,2.154575217909995323e-03
7.860000000000000000e+02,2.145226869058347498e-03
7.870000000000000000e+02,2.176295943519999509e-03
7.880000000000000000e+02,2.192588969150839097e-03
7.890000000000000000e+02,2.182782384122956398e-03
7.900000000000000000e+02,2.179696395827497146e-03
7.910000000000000000e+02,2.176324667875019925e-03
7.920000000000000000e+02,2.173067235785338617e-03
7.930000000000000000e+02,2.170324135078238476e-03
7.940000000000000000e+02,2.168495401273505194e-03
7.950000000000000000e+02,2.167981069890924026e-03
7.960000000000000000e+02,2.169181176450280663e-03
7.970000000000000000e+02,2.172495756471359927e-03
7.980000000000000000e+02,2.178324845473947943e-03
7.990000000000000000e+02,2.187068478977829966e-03
